"","Pais","Año_2019"
"1","Afghanistan",15679
"2","Albania",2848
"3","Algeria",90220
"4","Andorra",53
"5","Angola",35023
"6","Antigua and Barbuda",203
"7","Argentina",132855
"8","Armenia",2323
"9","Australia",144211
"10","Austria",6963
"11","Azerbaijan",16038
"12","Bahamas, The",216
"13","Bahrain",17483
"14","Bangladesh",88389
"15","Barbados",2353
"16","Belarus",17032
"17","Belgium",8081
"18","Belize",506
"19","Benin",3965
"20","Bhutan",474
"21","Bolivia",26421
"22","Bosnia and Herzegovina",3657
"23","Botswana",1887
"24","Brazil",443522
"25","Brunei Darussalam",1637
"26","Bulgaria",6857
"27","Burkina Faso",15021
"28","Burundi",1364
"29","Cabo Verde",89
"30","Cambodia",18056
"31","Cameroon",17422
"32","Canada",103220
"33","Central African Republic",9538
"34","Chad",56111
"35","Chile",11657
"36","China",1163215
"37","Colombia",78081
"38","Comoros",237
"39","Congo, Dem. Rep.",35279
"40","Congo, Rep.",10589
"41","Costa Rica",4919
"42","Cote d'Ivoire",7780
"43","Croatia",3678
"44","Cuba",10837
"45","Cyprus",744
"46","Czechia",12423
"47","Denmark",7896
"48","Djibouti",656
"49","Dominica",43
"50","Dominican Republic",9137
"51","Ecuador",28293
"52","Egypt, Arab Rep.",65216
"53","El Salvador",3273
"54","Equatorial Guinea",5028
"55","Eritrea",3694
"56","Estonia",1092
"57","Eswatini",1338
"58","Ethiopia",90115
"59","Fiji",501
"60","Finland",4639
"61","France",59456
"62","Gabon",7821
"63","Gambia, The",1316
"64","Georgia",5191
"65","Germany",48449
"66","Ghana",11193
"67","Greece",9341
"68","Grenada",2037
"69","Guatemala",10380
"70","Guinea",16183
"71","Guinea-Bissau",1249
"72","Guyana",1600
"73","Haiti",5186
"74","Honduras",7564
"75","Hungary",6992
"76","Iceland",527
"77","India",696431
"78","Indonesia",339612
"79","Iran, Islamic Rep.",180210
"80","Iraq",93815
"81","Ireland",15224
"82","Israel",9626
"83","Italy",44260
"84","Jamaica",837
"85","Japan",26155
"86","Jordan",6543
"87","Kazakhstan",69016
"88","Kenya",36858
"89","Kiribati",22
"90","Korea, Dem. People's Rep.",18085
"91","Korea, Rep.",22093
"92","Kuwait",24284
"93","Kyrgyz Republic",4796
"94","Lao PDR",7731
"95","Latvia",1980
"96","Lebanon",3407
"97","Lesotho",909
"98","Liberia",362
"99","Libya",53112
"100","Liechtenstein",2
"101","Lithuania",3033
"102","Luxembourg",558
"103","Madagascar",18364
"104","Malawi",4240
"105","Malaysia",38069
"106","Maldives",133
"107","Mali",22142
"108","Malta",223
"109","Marshall Islands",31
"110","Mauritania",6891
"111","Mauritius",1951
"112","Mexico",142624
"113","Micronesia, Fed. Sts.",51
"114","Moldova",3342
"115","Mongolia",18794
"116","Montenegro",784
"117","Morocco",12095
"118","Mozambique",16573
"119","Myanmar",72567
"120","Namibia",3812
"121","Nauru",4
"122","Nepal",23553
"123","Netherlands",15539
"124","New Zealand",32574
"125","Nicaragua",9391
"126","Niger",27251
"127","Nigeria",155074
"128","North Macedonia",2354
"129","Norway",4369
"130","Oman",20218
"131","Pakistan",163680
"132","Palau",19
"133","Panama",4972
"134","Papua New Guinea",10831
"135","Paraguay",29160
"136","Peru",31745
"137","Philippines",65051
"138","Poland",29697
"139","Portugal",11437
"140","Qatar",30718
"141","Romania",16638
"142","Russian Federation",620983
"143","Rwanda",2646
"144","Samoa",246
"145","Sao Tome and Principe",11
"146","Saudi Arabia",104821
"147","Senegal",11393
"148","Serbia",11537
"149","Seychelles",93
"150","Sierra Leone",3550
"151","Singapore",4251
"152","Slovak Republic",4411
"153","Slovenia",1717
"154","Solomon Islands",408
"155","Somalia",18645
"156","South Africa",73420
"157","South Sudan",29005
"158","Spain",39342
"159","Sri Lanka",7986
"160","St. Kitts and Nevis",81
"161","St. Lucia",270
"162","St. Vincent and the Grenadines",67
"163","Sudan",55211
"164","Suriname",1406
"165","Sweden",4853
"166","Switzerland",5041
"167","Syrian Arab Republic",15039
"168","Tajikistan",5640
"169","Tanzania",43778
"170","Thailand",74809
"171","Timor-Leste",5123
"172","Togo",2808
"173","Tonga",92
"174","Trinidad and Tobago",7573
"175","Tunisia",6705
"176","Turkiye",49343
"177","Turkmenistan",146450
"178","Tuvalu",11
"179","Uganda",20336
"180","Ukraine",33097
"181","United Arab Emirates",58152
"182","United Kingdom",51502
"183","United States",784496
"184","Uruguay",20757
"185","Uzbekistan",54437
"186","Vanuatu",379
"187","Venezuela, RB",127823
"188","Vietnam",80654
"189","Yemen, Rep.",10773
"190","Zambia",15729
"191","Zimbabwe",12457
"192","Africa Eastern and Southern",522988
"193","Africa Western and Central",392786
"194","Arab World",694250
"195","Caribbean small states",17197
"196","Central Europe and the Baltics",88522
"197","Early-demographic dividend",3075766
"198","East Asia & Pacific",2145295
"199","East Asia & Pacific (excluding high income)",1914367
"200","East Asia & Pacific (IDA & IBRD countries)",1896286
"201","Euro area",276498
"202","Europe & Central Asia",1475686
"203","Europe & Central Asia (excluding high income)",1055732
"204","Europe & Central Asia (IDA & IBRD countries)",1105747
"205","European Union",365536
"206","Fragile and conflict affected situations",1023947
"207","Heavily indebted poor countries (HIPC)",616844
"208","High income",1853636
"209","IBRD only",5275474
"210","IDA & IBRD total",6594330
"211","IDA blend",469483
"212","IDA only",849372
"213","IDA total",1318856
"214","Late-demographic dividend",2940418
"215","Latin America & Caribbean",1155803
"216","Latin America & Caribbean (excluding high income)",978564
"217","Latin America & the Caribbean (IDA & IBRD countries)",1142396
"218","Least developed countries: UN classification",817591
"219","Low & middle income",6398470
"220","Low income",494409
"221","Lower middle income",2158953
"222","Middle East & North Africa",803326
"223","Middle East & North Africa (excluding high income)",537797
"224","Middle East & North Africa (IDA & IBRD countries)",537797
"225","Middle income",5904061
"226","North America",887716
"227","OECD members",1807841
"228","Other small states",85345
"229","Pacific island small states",1769
"230","Post-demographic dividend",1540844
"231","Pre-demographic dividend",822642
"232","Small states",104313
"233","South Asia",996327
"234","South Asia (IDA & IBRD)",996327
"235","Sub-Saharan Africa",915774
"236","Sub-Saharan Africa (excluding high income)",915680
"237","Sub-Saharan Africa (IDA & IBRD countries)",915774
"238","Upper middle income",3745108
"239","World",8447770
