"","Pais","Año_2020"
"1","Africa Eastern and Southern",535800.15
"2","Africa Western and Central",396651.37
"3","Arab World",649060.99
"4","Caribbean small states",16570.62
"5","Central Europe and the Baltics",88142.08
"6","Early-demographic dividend",2992608.31
"7","East Asia & Pacific",2147725.5
"8","East Asia & Pacific (excluding high income)",1930334.54
"9","East Asia & Pacific (IDA & IBRD countries)",1912193.35
"10","Euro area",273236.37
"11","Europe & Central Asia",1445209.77
"12","Europe & Central Asia (excluding high income)",1030319.93
"13","Europe & Central Asia (IDA & IBRD countries)",1079987.95
"14","European Union",361793.59
"15","Fragile and conflict affected situations",967104.65
"16","Heavily indebted poor countries (HIPC)",636135.39
"17","High income",1789814.68
"18","IBRD only",5193231.61
"19","IDA & IBRD total",6536818.37
"20","IDA blend",470126.13
"21","IDA only",873460.63
"22","IDA total",1343586.76
"23","Late-demographic dividend",2958967.53
"24","Latin America & Caribbean",1128800.77
"25","Latin America & Caribbean (excluding high income)",982586.45
"26","Latin America & the Caribbean (IDA & IBRD countries)",1115840.69
"27","Least developed countries: UN classification",836274.48
"28","Low & middle income",6371942.61
"29","Low income",512928.42
"30","Lower middle income",2152318.52
"31","Middle East & North Africa",751959.7
"32","Middle East & North Africa (excluding high income)",491525.39
"33","Middle East & North Africa (IDA & IBRD countries)",491525.39
"34","Middle income",5859014.18
"35","North America",848384.79
"36","OECD members",1751170.75
"37","Other small states",87648.67
"38","Pacific island small states",1736.84
"39","Post-demographic dividend",1482297.61
"40","Pre-demographic dividend",825217.04
"41","Small states",105956.14
"42","South Asia",1004819.47
"43","South Asia (IDA & IBRD)",1004819.47
"44","Sub-Saharan Africa",932451.52
"45","Sub-Saharan Africa (excluding high income)",932356.83
"46","Sub-Saharan Africa (IDA & IBRD countries)",932451.52
"47","Upper middle income",3706695.67
"48","World",8317919.86
