"","Pais","Año_2020"
"1","Afghanistan",8709.47
"2","Albania",4383.2
"3","Algeria",161563
"4","Andorra",448.88
"5","Angola",19814.5
"6","Antigua and Barbuda",474.6
"7","Argentina",154535.9
"8","Armenia",6746.6
"9","Australia",378996.8
"10","Austria",59142.4
"11","Azerbaijan",34305
"12","Bahamas, The",2456
"13","Bahrain",32470.2
"14","Bangladesh",85493.1
"15","Barbados",1096.07
"16","Belarus",54801.5
"17","Belgium",85364.1
"18","Belize",687.6
"19","Benin",7980.4
"20","Bhutan",1035.2
"21","Bolivia",18375.3
"22","Bosnia and Herzegovina",20946.8
"23","Botswana",5763.69
"24","Brazil",414138.8
"25","Brunei Darussalam",9588
"26","Bulgaria",34138.1
"27","Burkina Faso",5456.7
"28","Burundi",713.47
"29","Cabo Verde",620.6
"30","Cambodia",18652.8
"31","Cameroon",9928.4
"32","Canada",516873.7
"33","Central African Republic",236.6
"34","Chad",1568.4
"35","Chile",84827.8
"36","China",10944686.2
"37","Colombia",79057.6
"38","Comoros",328.2
"39","Congo, Dem. Rep.",3025.6
"40","Congo, Rep.",7153.9
"41","Costa Rica",6967.4
"42","Cote d'Ivoire",10894.9
"43","Croatia",15626.9
"44","Cuba",24327.8
"45","Cyprus",6771.8
"46","Czechia",88835.2
"47","Denmark",27356.5
"48","Djibouti",427.7
"49","Dominica",162.8
"50","Dominican Republic",22881.3
"51","Ecuador",34431
"52","Egypt, Arab Rep.",210752.3
"53","El Salvador",6376.3
"54","Equatorial Guinea",4350.4
"55","Eritrea",706.4
"56","Estonia",7097.52
"57","Eswatini",1147.7
"58","Ethiopia",18098
"59","Fiji",1028.2
"60","Finland",36329.9
"61","France",267154.7
"62","Gabon",5349.2
"63","Gambia, The",611.4
"64","Georgia",10255
"65","Germany",603350.5
"66","Ghana",19401.16
"67","Greece",51002.2
"68","Grenada",324.5
"69","Guatemala",16865.2
"70","Guinea",4537.9
"71","Guinea-Bissau",329
"72","Guyana",2768.5
"73","Haiti",3209.04
"74","Honduras",8835.4
"75","Hungary",44769.3
"76","Iceland",1446.6
"77","India",2200836.3
"78","Indonesia",563197
"79","Iran, Islamic Rep.",616561.3
"80","Iraq",163511.5
"81","Ireland",33742.2
"82","Israel",58471.8
"83","Italy",281286.8
"84","Jamaica",5835.6
"85","Japan",1014064.7
"86","Jordan",20974.1
"87","Kazakhstan",211896.7
"88","Kenya",19446.8
"89","Kiribati",56.9
"90","Korea, Dem. People's Rep.",52437.2
"91","Korea, Rep.",569681.8
"92","Kuwait",92308.9
"93","Kyrgyz Republic",9080.1
"94","Lao PDR",19178.9
"95","Latvia",6928.3
"96","Lebanon",21474.9
"97","Lesotho",2311.9
"98","Liberia",1179.5
"99","Libya",44467
"100","Liechtenstein",142
"101","Lithuania",11693.8
"102","Luxembourg",7853.1
"103","Madagascar",2745.45
"104","Malawi",1640
"105","Malaysia",245139.3
"106","Maldives",1454
"107","Mali",4150.7
"108","Malta",1610.7
"109","Marshall Islands",110
"110","Mauritania",3847.1
"111","Mauritius",3720.2
"112","Mexico",383131.4
"113","Micronesia, Fed. Sts.",107.5
"114","Moldova",8611.2
"115","Mongolia",21184.7
"116","Montenegro",2527.2
"117","Morocco",66719.5
"118","Mozambique",6945.5
"119","Myanmar",33874.6
"120","Namibia",3952.8
"121","Nauru",41.4
"122","Nepal",14949.2
"123","Netherlands",130315.1
"124","New Zealand",31359.7
"125","Nicaragua",4582.2
"126","Niger",2197.95
"127","Nigeria",111978.1
"128","North Macedonia",6796.7
"129","Norway",36177.4
"130","Oman",71041.5
"131","Pakistan",184111.2
"132","Palau",158.2
"133","Panama",9582.7
"134","Papua New Guinea",5491.5
"135","Paraguay",7575.7
"136","Peru",46578.9
"137","Philippines",133471.3
"138","Poland",279223.8
"139","Portugal",38973.5
"140","Qatar",87578.3
"141","Romania",68664
"142","Russian Federation",1618271
"143","Rwanda",1382
"144","Samoa",206.5
"145","Sao Tome and Principe",141.1
"146","Saudi Arabia",513555.8
"147","Senegal",10680.2
"148","Serbia",46324.3
"149","Seychelles",598.7
"150","Sierra Leone",1048
"151","Singapore",43705
"152","Slovak Republic",29035.8
"153","Slovenia",12477.3
"154","Solomon Islands",223.3
"155","Somalia",660.4
"156","South Africa",393241.6
"157","South Sudan",1742.7
"158","Spain",202705.8
"159","Sri Lanka",21846.3
"160","St. Kitts and Nevis",231
"161","St. Lucia",499.2
"162","St. Vincent and the Grenadines",219.8
"163","Sudan",20796.1
"164","Suriname",2601.32
"165","Sweden",33576.1
"166","Switzerland",34916.1
"167","Syrian Arab Republic",25234.6
"168","Tajikistan",9328.8
"169","Tanzania",14435.5
"170","Thailand",265478.9
"171","Timor-Leste",446.1
"172","Togo",2415.1
"173","Tonga",118.1
"174","Trinidad and Tobago",15420
"175","Tunisia",29293
"176","Turkiye",407406.2
"177","Turkmenistan",63655
"178","Tuvalu",6.6
"179","Uganda",5674.6
"180","Ukraine",165663.6
"181","United Arab Emirates",188088.7
"182","United Kingdom",308650.3
"183","United States",4320532.5
"184","Uruguay",6514.3
"185","Uzbekistan",115577.8
"186","Vanuatu",121.3
"187","Venezuela, RB",72509
"188","Vietnam",355323.1
"189","Yemen, Rep.",9960.1
"190","Zambia",7607.1
"191","Zimbabwe",8312.5
