"","Pais","Año_2020"
"1","Afghanistan",4863.386801
"2","Albania",1015.186729
"3","Algeria",12578.7476
"4","Andorra",1.758811
"5","Angola",17757.86784
"6","Antigua and Barbuda",11.763473
"7","Argentina",51061.49889
"8","Armenia",1173.579946
"9","Australia",49331.81586
"10","Austria",3759.74089
"11","Azerbaijan",4793.554747
"12","Bahamas, The",33.819566
"13","Bahrain",171.638398
"14","Bangladesh",28076.84646
"15","Barbados",38.47874
"16","Belarus",15902.54152
"17","Belgium",4564.196311
"18","Belize",205.409043
"19","Benin",3007.644632
"20","Bhutan",97.265439
"21","Bolivia",9838.142418
"22","Bosnia and Herzegovina",1283.7036
"23","Botswana",2963.633551
"24","Brazil",191103.2517
"25","Brunei Darussalam",137.896432
"26","Bulgaria",4328.729643
"27","Burkina Faso",10060.67193
"28","Burundi",1636.389411
"29","Cabo Verde",59.475638
"30","Cambodia",4784.592654
"31","Cameroon",62399.45337
"32","Canada",47080.30993
"33","Central African Republic",10628.57907
"34","Chad",27724.59116
"35","Chile",6599.431802
"36","China",536920.2103
"37","Colombia",23778.21405
"38","Comoros",46.8158
"39","Congo, Dem. Rep.",14960.56584
"40","Congo, Rep.",1610.016398
"41","Costa Rica",1875.797079
"42","Cote d'Ivoire",3544.205981
"43","Croatia",1773.064923
"44","Cuba",3195.025202
"45","Cyprus",371.65818
"46","Czechia",4755.494158
"47","Denmark",5492.825727
"48","Djibouti",259.183065
"49","Dominica",20.527631
"50","Dominican Republic",3395.510707
"51","Ecuador",5192.81053
"52","Egypt, Arab Rep.",20471.52798
"53","El Salvador",1015.746685
"54","Equatorial Guinea",33.339292
"55","Eritrea",1730.462791
"56","Estonia",1827.193979
"57","Eswatini",423.5448
"58","Ethiopia",53761.30355
"59","Fiji",191.232612
"60","Finland",5877.063898
"61","France",36202.71508
"62","Gabon",523.122457
"63","Gambia, The",359.1794
"64","Georgia",2158.298117
"65","Germany",33815.1086
"66","Ghana",6369.119051
"67","Greece",4423.24792
"68","Grenada",7.639008
"69","Guatemala",5199.301551
"70","Guinea",6822.434916
"71","Guinea-Bissau",765.861398
"72","Guyana",567.141277
"73","Haiti",1533.386585
"74","Honduras",3123.890057
"75","Hungary",6484.468559
"76","Iceland",368.658861
"77","India",279003.7915
"78","Indonesia",75595.64259
"79","Iran, Islamic Rep.",39719.80826
"80","Iraq",5439.691289
"81","Ireland",9572.898489
"82","Israel",2690.533696
"83","Italy",15989.66164
"84","Jamaica",409.694785
"85","Japan",18498.40533
"86","Jordan",1225.862771
"87","Kazakhstan",11597.46426
"88","Kenya",20969.04632
"89","Kiribati",5.124415
"90","Korea, Dem. People's Rep.",2590.047636
"91","Korea, Rep.",10096.79464
"92","Kuwait",946.957816
"93","Kyrgyz Republic",2016.200505
"94","Lao PDR",3143.072183
"95","Latvia",2353.803838
"96","Lebanon",846.613935
"97","Lesotho",537.863108
"98","Liberia",295.301944
"99","Libya",1797.652497
"100","Liechtenstein",0.870988
"101","Lithuania",4614.14431
"102","Luxembourg",358.525652
"103","Madagascar",7665.367879
"104","Malawi",5054.858381
"105","Malaysia",9265.095907
"106","Maldives",9.21871
"107","Mali",15086.90083
"108","Malta",47.972192
"109","Marshall Islands",0.699535
"110","Mauritania",3273.335787
"111","Mauritius",221.869467
"112","Mexico",43291.23439
"113","Micronesia, Fed. Sts.",27.549723
"114","Moldova",993.18282
"115","Mongolia",14245.8522
"116","Montenegro",150.663183
"117","Morocco",8693.633782
"118","Mozambique",9599.741911
"119","Myanmar",22956.52965
"120","Namibia",3921.065876
"121","Nauru",0.400188
"122","Nepal",7177.760331
"123","Netherlands",8336.911105
"124","New Zealand",14909.88425
"125","Nicaragua",3567.365768
"126","Niger",13245.90022
"127","Nigeria",41196.30278
"128","North Macedonia",546.642517
"129","Norway",3522.994529
"130","Oman",1031.910988
"131","Pakistan",68971.75355
"132","Palau",0
"133","Panama",1253.661076
"134","Papua New Guinea",1704.47708
"135","Paraguay",11255.77989
"136","Peru",10200.52324
"137","Philippines",14455.78231
"138","Poland",22864.40427
"139","Portugal",3092.139079
"140","Qatar",602.919213
"141","Romania",9151.856248
"142","Russian Federation",69231.05118
"143","Rwanda",2006.21099
"144","Samoa",50.494426
"145","Sao Tome and Principe",17.434243
"146","Saudi Arabia",8249.19921
"147","Senegal",6023.255046
"148","Serbia",4373.700238
"149","Seychelles",4.039156
"150","Sierra Leone",1129.527182
