"","Pais","Año_2020"
"1","Africa Eastern and Southern",275690.74
"2","Africa Western and Central",216101.87
"3","Arab World",113241.49
"4","Caribbean small states",1929.42
"5","Central Europe and the Baltics",60992.74
"6","Early-demographic dividend",919560.41
"7","East Asia & Pacific",837424.48
"8","East Asia & Pacific (excluding high income)",734137.81
"9","East Asia & Pacific (IDA & IBRD countries)",731548.16
"10","Euro area",159006.94
"11","Europe & Central Asia",460694.58
"12","Europe & Central Asia (excluding high income)",210844.75
"13","Europe & Central Asia (IDA & IBRD countries)",244634.08
"14","European Union",220238.85
"15","Fragile and conflict affected situations",414407.1
"16","Heavily indebted poor countries (HIPC)",382172.66
"17","High income",690685.51
"18","IBRD only",1725711.83
"19","IDA & IBRD total",2356498.83
"20","IDA blend",219121.22
"21","IDA only",411665.78
"22","IDA total",630787.01
"23","Late-demographic dividend",1011124.05
"24","Latin America & Caribbean",399474.89
"25","Latin America & Caribbean (excluding high income)",369486.15
"26","Latin America & the Caribbean (IDA & IBRD countries)",396207.57
"27","Least developed countries: UN classification",401431.09
"28","Low & middle income",2298573.7
"29","Low income",261809.09
"30","Lower middle income",848472.77
"31","Middle East & North Africa",116529.97
"32","Middle East & North Africa (excluding high income)",100959.2
"33","Middle East & North Africa (IDA & IBRD countries)",100959.2
"34","Middle income",2036764.61
"35","North America",305082.67
"36","OECD members",752837.48
"37","Other small states",14195.33
"38","Pacific island small states",438.77
"39","Post-demographic dividend",662744.85
"40","Pre-demographic dividend",408877
"41","Small states",16563.52
"42","South Asia",391357.22
"43","South Asia (IDA & IBRD)",391357.22
"44","Sub-Saharan Africa",491792.62
"45","Sub-Saharan Africa (excluding high income)",491788.58
"46","Sub-Saharan Africa (IDA & IBRD countries)",491792.62
"47","Upper middle income",1188291.84
"48","World",3017899.4
