"","Pais","Año_2020"
"1","China",1186285.18
"2","United States",748241.4
"3","India",697654.67
"4","Russian Federation",617227.3
"5","Brazil",449213.97
"6","Indonesia",333994.91
"7","Iran, Islamic Rep.",174641.97
"8","Pakistan",169428.24
"9","Nigeria",151059.77
"10","Mexico",143480.89
"11","Australia",131484.76
"12","Argentina",131035.69
"13","Turkmenistan",124818.64
"14","Saudi Arabia",102630.51
"15","Canada",100143.39
"16","Venezuela, RB",97594.23
"17","Ethiopia",94645.58
"18","Bangladesh",88904
"19","Algeria",86543.92
"20","Iraq",85916.97
