"","Pais","Año_2020"
"1","China",10944686.2
"2","United States",4320532.5
"3","India",2200836.3
"4","Russian Federation",1618271
"5","Japan",1014064.7
"6","Iran, Islamic Rep.",616561.3
"7","Germany",603350.5
"8","Korea, Rep.",569681.8
"9","Indonesia",563197
"10","Canada",516873.7
"11","Saudi Arabia",513555.8
"12","Brazil",414138.8
"13","Turkiye",407406.2
"14","South Africa",393241.6
"15","Mexico",383131.4
"16","Australia",378996.8
"17","Vietnam",355323.1
"18","United Kingdom",308650.3
"19","Italy",281286.8
"20","Poland",279223.8
