"","Pais","Año_2020"
"1","China",536920.21
"2","India",279003.79
"3","United States",258002.36
"4","Brazil",191103.25
"5","Indonesia",75595.64
"6","Russian Federation",69231.05
"7","Pakistan",68971.75
"8","Cameroon",62399.45
"9","Ethiopia",53761.3
"10","Argentina",51061.5
"11","Australia",49331.82
"12","Canada",47080.31
"13","Mexico",43291.23
"14","Nigeria",41196.3
"15","Iran, Islamic Rep.",39719.81
"16","Turkiye",38132.07
"17","France",36202.72
"18","Germany",33815.11
"19","Sudan",29300.73
"20","Ukraine",28400.55
